"event_id","p_home","p_draw","p_away","outcome","entropy"
"1616984307","0.488287","0.288336","0.223377","home","1.505353"
"1616984308","0.596681","0.262119","0.141200","away","1.349621"
"1616984309","0.483236","0.288221","0.228542","draw","1.510970"
"1616984310","0.290158","0.270009","0.439833","away","1.549173"
"1616990710","0.697804","0.194269","0.107927","home","1.168109"
"1616990711","0.488323","0.291821","0.219856","away","1.503958"
"1616990712","0.473892","0.251679","0.274429","home","1.523430"
"1616990713","0.105684","0.168579","0.725737","away","1.111282"
"1616990714","0.753905","0.155783","0.090313","home","1.038410"
"1616990715","0.375861","0.278934","0.345205","home","1.574120"
"1616990716","0.586708","0.233694","0.179598","away","1.386366"
"1616990717","0.603165","0.215205","0.181630","home","1.363852"
"1616990718","0.407340","0.276575","0.316085","home","1.565841"
"1616990719","0.584925","0.219746","0.195329","home","1.393127"
"1616990720","0.440045","0.260724","0.299231","away","1.547646"
"1616990721","0.460645","0.265563","0.273792","home","1.534791"
"1616990722","0.497419","0.255516","0.247064","home","1.502459"
"1616990723","0.140028","0.200455","0.659517","draw","1.257986"
"1616990724","0.214414","0.274377","0.511208","away","1.483109"
"1616990725","0.204222","0.295470","0.500307","draw","1.487605"
"1616990726","0.359298","0.324566","0.316136","draw","1.582721"
"1616990727","0.744859","0.169191","0.085950","draw","1.054514"
"1616990729","0.432377","0.316889","0.250734","home","1.548814"
"1616990730","0.515714","0.217361","0.266925","home","1.479908"
"1616990759","0.168689","0.243098","0.588213","away","1.379465"
"1616994651","0.605814","0.231075","0.163112","home","1.353139"
"1616994652","0.232107","0.245588","0.522304","home","1.475986"
"1616994653","0.436138","0.284382","0.279479","away","1.552031"
"1616994654","0.490893","0.259884","0.249223","home","1.508707"
"1616994655","0.452292","0.287701","0.260007","away","1.540120"
"1616994656","0.346420","0.320210","0.333370","home","1.584219"
"1616994657","0.465074","0.271510","0.263416","away","1.531315"
"1616994659","0.481413","0.302005","0.216582","draw","1.507393"
"1616994660","0.486119","0.309630","0.204252","home","1.497626"
"1616994661","0.488384","0.272236","0.239380","home","1.509704"
"1616994662","0.254786","0.277289","0.467925","away","1.528418"
"1616994663","0.362131","0.314236","0.323632","away","1.582207"
"1617374763","0.142592","0.252421","0.604988","away","1.340649"
"1617375811","0.372729","0.297500","0.329771","draw","1.578817"
"1617405631","0.652580","0.231057","0.116364","home","1.251332"
"1617413116","0.360388","0.304078","0.335534","home","1.581500"
"1617413117","0.261977","0.268490","0.469533","home","1.527729"
"1617413164","0.538848","0.279518","0.181634","draw","1.441691"
"1617413171","0.560970","0.243087","0.195943","home","1.424618"
"1617413231","0.595153","0.265693","0.139154","home","1.349550"
"1617413232","0.682787","0.207626","0.109587","home","1.196319"
"1617413248","0.138950","0.198704","0.662346","home","1.252541"
"1617413249","0.084517","0.135323","0.780160","draw","0.971169"
"1617413307","0.699870","0.190874","0.109256","home","1.165365"
"1617413310","0.205945","0.236585","0.557470","away","1.431447"
"1617422549","0.531566","0.286325","0.182109","away","1.448691"
"1617422555","0.444490","0.274981","0.280528","draw","1.546561"
"1617422556","0.362189","0.272910","0.364902","draw","1.572692"
"1617422557","0.775693","0.144223","0.080084","draw","0.978846"
"1617496098","0.361781","0.315971","0.322248","away","1.582326"
"1617518951","0.250513","0.305657","0.443831","draw","1.543096"
"1617575532","0.172926","0.223015","0.604058","away","1.359886"
"1617585473","0.451962","0.310453","0.237584","home","1.534359"
"1617628785","0.552206","0.252458","0.195336","home","1.434645"
"1617635259","0.192514","0.258226","0.549260","home","1.436792"
"1617635269","0.356079","0.302834","0.341087","draw","1.581661"
"1617635283","0.546494","0.255944","0.197562","home","1.441822"
"1617635553","0.531740","0.240336","0.227924","draw","1.465114"
"1617635554","0.391036","0.282226","0.326738","away","1.572080"
"1617635555","0.463457","0.252794","0.283749","home","1.531398"
"1617635567","0.079665","0.160518","0.759817","away","1.015506"
"1617635570","0.720325","0.177565","0.102110","home","1.119814"
"1617635607","0.837488","0.109205","0.053307","home","0.788641"
"1617641975","0.244650","0.239818","0.515532","draw","1.483737"
"1617641990","0.467182","0.278435","0.254382","home","1.528924"
"1617641992","0.275595","0.256689","0.467716","draw","1.528790"
"1617641994","0.479185","0.269459","0.251356","home","1.519110"
"1617646874","0.788293","0.130281","0.081426","home","0.948234"
"1617646902","0.578602","0.228029","0.193369","away","1.401438"
"1617652449","0.497622","0.296146","0.206233","draw","1.490691"
"1617652459","0.317576","0.280862","0.401563","away","1.568669"
"1617652505","0.134940","0.225214","0.639846","away","1.286466"
"1617652509","0.173099","0.240106","0.586795","away","1.383485"
"1617657080","0.335771","0.321365","0.342865","home","1.584441"
"1617657137","0.581687","0.217740","0.200573","home","1.398465"
"1617664284","0.842640","0.108841","0.048519","home","0.768203"
"1617778541","0.109653","0.196350","0.693997","away","1.176546"
"1617778664","0.327193","0.277505","0.395302","away","1.569885"
"1617778686","0.347594","0.278075","0.374332","home","1.574025"
"1617778687","0.187712","0.227463","0.584825","home","1.391563"
"1617778688","0.543800","0.277509","0.178691","away","1.435095"
"1617779255","0.536334","0.289140","0.174526","draw","1.439203"
"1617781187","0.607731","0.223819","0.168449","home","1.352860"
"1617781188","0.452519","0.269506","0.277976","away","1.540872"
"1617781226","0.398886","0.266653","0.334461","home","1.565880"
"1617781250","0.392851","0.316322","0.290827","home","1.572991"
"1617781307","0.701643","0.181952","0.116405","home","1.167157"
"1617781308","0.547067","0.260151","0.192781","draw","1.439276"
"1617782329","0.669239","0.184837","0.145924","home","1.243154"
"1617782411","0.430479","0.312824","0.256697","home","1.551534"
"1617782419","0.619445","0.221778","0.158777","home","1.331430"
"1617782436","0.344943","0.258021","0.397036","away","1.563084"
"1617782449","0.222272","0.325949","0.451780","away","1.527272"
"1617782468","0.808492","0.123407","0.068102","home","0.884438"
"1617788560","0.288489","0.285105","0.426407","draw","1.557895"
"1617861324","0.399074","0.320309","0.280617","away","1.569440"
"1617862308","0.593115","0.243803","0.163082","home","1.370092"
"1617862312","0.309770","0.308787","0.381443","draw","1.577611"
"1617866872","0.306144","0.309059","0.384797","draw","1.576553"
